,Mkt-RF,SMB,HML,RF
199007    ,0.77    ,0.55   ,-0.40    ,0.68
199008  ,-10.77   ,-1.49    ,0.53    ,0.66
199009  ,-11.88    ,1.35    ,0.71    ,0.60
199010    ,9.36   ,-7.57   ,-4.16    ,0.68
199011   ,-3.72    ,1.37    ,1.13    ,0.57
199012    ,1.11   ,-0.72   ,-1.52    ,0.60
199101    ,2.48   ,-1.94    ,0.49    ,0.52
199102    ,9.02    ,2.46    ,0.05    ,0.48
199103   ,-2.30    ,3.26   ,-1.09    ,0.44
199104    ,0.54    ,0.04    ,0.43    ,0.53
199105    ,0.72   ,-0.57    ,0.22    ,0.47
199106   ,-6.07    ,1.32    ,1.06    ,0.42
199107    ,3.47   ,-1.77   ,-0.40    ,0.49
199108   ,-1.29    ,0.38   ,-0.63    ,0.46
199109    ,2.86    ,0.43    ,0.06    ,0.46
199110    ,1.36   ,-0.24   ,-1.38    ,0.42
199111   ,-5.08    ,0.84   ,-1.34    ,0.39
199112    ,6.28   ,-2.02   ,-2.81    ,0.38
199201   ,-2.16    ,3.94    ,2.92    ,0.34
199202   ,-1.89    ,2.32    ,1.74    ,0.28
199203   ,-5.48    ,0.77    ,2.56    ,0.34
199204   ,-0.14   ,-1.91    ,2.75    ,0.32
199205    ,4.06    ,0.18    ,0.69    ,0.28
199206   ,-3.70    ,0.33    ,1.09    ,0.32
199207   ,-0.59   ,-2.24   ,-1.31    ,0.31
199208    ,2.44   ,-2.70   ,-1.60    ,0.26
199209   ,-1.38   ,-0.09   ,-0.97    ,0.26
199210   ,-3.00   ,-0.30   ,-0.46    ,0.23
199211    ,1.82   ,-0.01   ,-1.76    ,0.23
199212    ,0.75    ,1.33    ,0.98    ,0.28
199301    ,0.31    ,1.61    ,3.25    ,0.23
199302    ,1.89   ,-1.29    ,3.61    ,0.22
199303    ,6.68    ,0.33    ,1.97    ,0.25
199304    ,4.31    ,0.54    ,2.89    ,0.24
199305    ,3.12    ,4.39   ,-1.42    ,0.22
199306   ,-2.11   ,-0.89    ,0.35    ,0.25
199307    ,2.25   ,-1.54    ,1.34    ,0.24
199308    ,4.37    ,0.88    ,1.07    ,0.25
199309   ,-1.96    ,1.84    ,0.28    ,0.26
199310    ,1.11   ,-0.33   ,-0.83    ,0.22
199311   ,-6.27    ,1.60   ,-0.12    ,0.25
199312    ,4.01    ,0.21    ,2.26    ,0.23
199401    ,7.26    ,0.33    ,3.22    ,0.25
199402   ,-1.17    ,1.40    ,0.52    ,0.21
199403   ,-3.69    ,0.63    ,1.80    ,0.27
199404    ,2.32   ,-0.17    ,1.22    ,0.27
199405   ,-0.19   ,-1.44    ,1.36    ,0.32
199406    ,0.09   ,-0.71    ,1.29    ,0.31
199407    ,1.11   ,-0.46    ,0.68    ,0.28
199408    ,2.12    ,0.07   ,-1.90    ,0.37
199409   ,-2.84    ,1.86   ,-0.26    ,0.37
199410    ,2.09   ,-1.88   ,-0.16    ,0.38
199411   ,-5.16   ,-0.26   ,-0.26    ,0.37
199412    ,0.77   ,-0.14   ,-0.56    ,0.44
199501   ,-2.30    ,0.22    ,0.29    ,0.42
199502    ,0.61    ,0.39    ,0.36    ,0.40
199503    ,4.22   ,-2.09   ,-1.23    ,0.46
199504    ,2.63   ,-1.23    ,0.16    ,0.45
199505   ,-0.11   ,-0.14    ,0.51    ,0.54
199506   ,-0.04    ,2.03   ,-0.91    ,0.47
199507    ,4.35    ,0.64   ,-1.95    ,0.45
199508   ,-1.77    ,2.09   ,-0.23    ,0.47
199509    ,1.68   ,-1.17   ,-1.01    ,0.43
199510   ,-1.99   ,-1.64   ,-0.33    ,0.47
199511    ,2.67   ,-1.24   ,-0.11    ,0.42
199512    ,2.14    ,0.24    ,0.53    ,0.49
199601    ,1.13   ,-0.10    ,0.68    ,0.43
199602    ,0.60    ,1.34   ,-0.58    ,0.39
199603    ,1.19    ,0.35    ,0.11    ,0.39
199604    ,2.69    ,3.52   ,-1.19    ,0.46
199605    ,0.11    ,2.26   ,-0.41    ,0.42
199606   ,-0.51   ,-2.64    ,1.45    ,0.40
199607   ,-4.56   ,-2.17    ,3.17    ,0.45
199608    ,0.96    ,1.35   ,-0.73    ,0.41
199609    ,3.19   ,-2.58   ,-0.91    ,0.44
199610   ,-0.49   ,-0.72    ,2.08    ,0.42
199611    ,4.44   ,-3.45    ,1.78    ,0.41
199612   ,-1.78    ,0.87    ,1.08    ,0.46
199701    ,0.05   ,-0.07    ,0.03    ,0.45
199702    ,0.30   ,-1.49    ,2.11    ,0.39
199703   ,-2.80   ,-1.11    ,2.46    ,0.43
199704    ,1.93   ,-4.50   ,-0.21    ,0.43
199705    ,7.01    ,1.77   ,-1.67    ,0.49
199706    ,4.02   ,-1.71    ,0.93    ,0.37
199707    ,3.75   ,-4.57   ,-0.06    ,0.43
199708   ,-5.57    ,5.37    ,0.46    ,0.41
199709    ,4.99   ,-2.10   ,-0.41    ,0.44
199710   ,-5.54    ,0.62    ,1.72    ,0.42
199711    ,0.30   ,-5.75   ,-0.60    ,0.39
199712    ,0.32   ,-3.66    ,2.05    ,0.48
199801    ,1.93   ,-0.34   ,-1.16    ,0.43
199802    ,6.50    ,0.00    ,0.61    ,0.39
199803    ,3.81   ,-0.74    ,2.30    ,0.39
199804    ,0.72    ,0.44   ,-0.22    ,0.43
199805   ,-1.65   ,-1.03    ,1.96    ,0.40
199806    ,1.24   ,-3.76   ,-1.70    ,0.41
199807   ,-1.23   ,-3.36   ,-1.16    ,0.40
199808  ,-14.07   ,-1.19    ,0.03    ,0.43
199809    ,1.22   ,-0.16   ,-3.35    ,0.46
199810    ,8.12   ,-3.10    ,1.28    ,0.32
199811    ,5.03   ,-0.45   ,-1.34    ,0.31
199812    ,4.34   ,-1.40   ,-3.48    ,0.38
199901    ,1.76   ,-0.06   ,-3.99    ,0.35
199902   ,-3.30   ,-0.87    ,0.33    ,0.35
199903    ,3.53   ,-0.98    ,0.21    ,0.43
199904    ,4.32    ,2.51    ,3.78    ,0.37
199905   ,-3.12    ,3.02    ,0.64    ,0.34
199906    ,4.65    ,3.16   ,-1.79    ,0.40
199907   ,-0.35    ,2.08    ,0.93    ,0.38
199908   ,-0.01    ,1.32   ,-1.69    ,0.39
199909   ,-0.60    ,2.19   ,-2.11    ,0.39
199910    ,4.40   ,-4.64   ,-4.00    ,0.39
199911    ,3.62    ,2.35   ,-9.56    ,0.36
199912    ,7.22   ,-0.75   ,-6.35    ,0.44
200001   ,-5.37    ,5.65   ,-1.90    ,0.41
200002    ,2.30   ,10.82  ,-10.14    ,0.43
200003    ,4.66  ,-10.09    ,6.79    ,0.47
200004   ,-5.77   ,-5.24    ,5.05    ,0.46
200005   ,-3.29   ,-1.22    ,5.72    ,0.50
200006    ,3.28    ,5.15   ,-1.67    ,0.40
200007   ,-3.39   ,-2.44    ,5.91    ,0.48
200008    ,4.21   ,-0.12   ,-1.29    ,0.50
200009   ,-5.24   ,-1.04    ,6.65    ,0.51
200010   ,-3.53   ,-5.67    ,6.75    ,0.56
200011   ,-7.47   ,-1.90   ,12.22    ,0.51
200012    ,1.36    ,0.46    ,7.73    ,0.50
200101    ,1.87    ,2.71   ,-3.83    ,0.54
200102   ,-8.78    ,2.23   ,11.75    ,0.38
200103   ,-7.77   ,-0.81    ,7.11    ,0.42
200104    ,7.67   ,-0.63   ,-3.19    ,0.39
200105   ,-1.10    ,2.17    ,2.80    ,0.32
200106   ,-2.76    ,1.64    ,3.66    ,0.28
200107   ,-2.60   ,-3.30    ,3.04    ,0.30
200108   ,-4.46    ,2.12    ,3.98    ,0.31
200109  ,-10.00   ,-5.02    ,1.96    ,0.28
200110    ,2.57    ,4.11   ,-5.17    ,0.22
200111    ,5.52   ,-0.62   ,-1.80    ,0.17
200112    ,0.66    ,0.21    ,1.35    ,0.15
200201   ,-3.08    ,1.03    ,2.00    ,0.14
200202   ,-0.73   ,-0.43    ,3.43    ,0.13
200203    ,4.66    ,1.41    ,0.54    ,0.13
200204   ,-2.47    ,3.72    ,5.43    ,0.15
200205    ,0.34    ,0.10    ,3.26    ,0.14
200206   ,-5.45    ,2.02    ,2.19    ,0.13
200207   ,-8.71   ,-1.47    ,0.16    ,0.15
200208    ,0.19   ,-1.45    ,1.63    ,0.14
200209  ,-10.35    ,2.74    ,1.06    ,0.14
200210    ,5.95   ,-5.04   ,-3.65    ,0.14
200211    ,5.14    ,0.09   ,-0.70    ,0.12
200212   ,-4.25    ,1.78    ,3.56    ,0.11
200301   ,-2.72    ,1.85    ,0.87    ,0.10
