Open 0,Close 0,Low 0,High 0,Gain 0,Vola (m) 0,Open 1,Close 1,Low 1,High 1,Gain 1,Vola (m) 1,Open 2,Close 2,Low 2,High 2,Gain 2,Vola (m) 2,Open 3,Close 3,Low 3,High 3,Gain 3,Vola (m) 3,Open 4,Close 4,Low 4,High 4,Gain 4,Vola (m) 4,Open 5,Close 5,Low 5,High 5,Gain 5,Vola (m) 5,Open 6,Close 6,Low 6,High 6,Gain 6,Vola (m) 6,Open 7,Close 7,Low 7,High 7,Gain 7,Vola (m) 7,Open 8,Close 8,Low 8,High 8,Gain 8,Vola (m) 8,Paused Days,Weekday,Day Close,Trend 1d,Day,Trend 3d,Trend 10d,Trend 30d,Trend 90d,Trend 300d,d_ema10,d_ema50,d_ema200
2.88,1.83,-0.22,2.88,-1.05,0.973,1.9,3.91,0.87,4.28,2.01,5.398,3.96,4.96,3.74,6.46,1.0,3.208,4.81,5.94,4.25,6.68,1.13,1.873,5.97,6.6,5.58,6.64,0.63,1.296,6.64,5.04,4.33,6.76,-1.6,1.42,4.92,5.92,4.22,6.13,1.0,1.395,5.99,7.63,5.4,7.7,1.64,1.968,7.5,7.91,6.83,8.68,0.41,0.838,1,4,139.5,0.0790532178217822,2020-05-08,,,,,,0.0,0.0,0.0
1.08,-3.76,-5.38,1.08,-4.84,1.72,-3.33,-2.4,-3.88,-0.89,0.93,4.552,-2.46,-2.03,-2.77,-0.85,0.43,2.64,-1.99,-0.24,-2.44,-0.22,1.75,1.56,-0.19,-0.05,-0.96,0.06,0.14,1.343,-0.12,0.7,-0.28,1.96,0.82,1.279,0.69,0.77,0.04,1.01,0.08,1.39,0.66,-0.54,-0.58,1.26,-1.2,1.934,-0.65,-1.08,-1.43,-0.36,-0.43,0.222,3,0,138.0,-0.010752688172043001,2020-05-11,,,,,,-0.008814887365328095,-0.010335372284328126,-0.010646835375314523
1.74,2.54,1.74,2.9,0.8,0.523,2.54,0.13,-1.85,3.46,-2.41,5.74,0.06,1.41,-0.25,2.18,1.35,3.251,1.32,1.04,0.25,1.75,-0.28,1.769,1.07,2.49,0.62,2.63,1.42,1.18,2.46,0.43,-0.87,2.64,-2.03,1.835,0.38,-0.97,-1.69,0.57,-1.35,1.566,-1.09,-7.87,-8.05,-0.95,-6.78,3.135,-8.08,-10.69,-10.7,-7.3,-2.61,0.892,1,1,123.25,-0.10688405797101452,2020-05-12,,,,,,-0.09589269475598661,-0.11207154431010846,-0.11536839047685066
1.66,5.14,-0.2,7.99,3.48,2.387,5.7,2.78,0.12,5.91,-2.92,7.588,2.65,1.7,1.43,6.37,-0.95,3.717,1.6,-2.41,-3.3,3.23,-4.01,4.595,-2.35,-3.64,-6.0,-1.92,-1.29,4.971,-3.51,-5.65,-6.08,-3.51,-2.14,3.21,-5.7,-6.05,-6.73,-3.98,-0.35,3.125,-5.95,-2.61,-7.2,-2.18,3.34,4.502,-2.62,-0.24,-2.62,0.27,2.38,0.44,1,2,122.95,-0.0024340770791074773,2020-05-13,-0.1186379928315412,,,,,-0.08171561577452069,-0.11024698727122373,-0.11648850044891379
-0.38,-4.64,-6.43,-0.33,-4.26,1.277,-4.64,-9.35,-9.72,-3.96,-4.71,5.603,-9.36,-4.87,-9.7,-3.64,4.49,4.966,-4.85,-6.07,-6.3,-1.07,-1.22,4.864,-6.05,-2.7,-6.56,-2.64,3.35,3.387,-2.65,-3.37,-3.73,-1.73,-0.72,2.449,-3.39,0.52,-4.67,0.52,3.91,3.497,0.49,5.55,0.15,5.73,5.06,5.028,5.42,7.31,4.92,7.36,1.89,1.032,1,3,131.94,0.0731191541276941,2020-05-14,-0.04391304347826086,,,,,-0.011953755635287222,-0.04349395837713166,-0.051397135202370325
-4.5,-11.17,-12.67,-4.5,-6.67,1.995,-11.1,-9.24,-12.48,-8.46,1.86,6.634,-9.05,-11.83,-12.08,-6.87,-2.78,4.416,-11.75,-11.96,-13.14,-11.37,-0.21,3.113,-12.02,-10.0,-12.08,-8.92,2.02,2.745,-9.88,-8.56,-10.1,-8.14,1.32,2.479,-8.53,-9.58,-9.72,-7.43,-1.05,2.548,-9.3,-7.98,-9.81,-7.42,1.32,2.88,-7.92,-8.67,-9.05,-7.92,-0.75,0.74,1,4,120.5,-0.08670607852053958,2020-05-15,-0.022312373225152116,,,,,-0.08131702010501807,-0.12207610494647725,-0.13249314292485614
3.99,7.73,3.21,7.93,3.74,1.046,7.95,9.93,7.88,11.04,1.98,6.555,9.96,12.9,9.44,13.03,2.94,3.048,12.9,12.77,12.22,13.41,-0.13,2.631,12.71,13.54,12.23,13.54,0.83,1.591,13.57,14.41,13.56,15.73,0.84,1.925,14.45,14.41,13.66,14.97,-0.04,1.772,14.46,15.09,14.46,16.39,0.63,2.525,14.93,14.52,13.71,15.97,-0.41,1.277,3,0,138.0,0.14522821576763478,2020-05-18,0.12240748271655133,,,,,0.04222860613588786,0.005209432861286611,-0.0064423440180853
-2.17,-0.17,-2.17,1.37,2.0,1.062,-0.15,1.88,-1.01,2.75,2.03,6.14,1.86,4.62,1.8,4.78,2.76,3.466,4.63,4.62,3.93,5.22,-0.01,2.498,4.63,5.25,3.68,5.53,0.62,1.527,5.23,5.43,4.83,6.12,0.2,1.362,5.46,2.62,2.26,5.67,-2.84,1.948,2.54,-0.72,-0.82,4.57,-3.26,4.33,-0.85,0.14,-1.44,0.36,0.99,0.596,1,1,138.19,0.0013768115942027759,2020-05-19,0.047370016674245896,,,,,0.03544335103764662,0.006333213946084104,-0.005024164430395772
3.48,4.98,3.12,5.29,1.5,0.842,5.19,9.1,4.98,9.1,3.91,5.408,9.26,10.51,8.71,11.2,1.25,3.135,10.51,10.98,10.43,11.95,0.47,2.038,11.01,9.26,8.37,11.22,-1.75,2.412,9.29,8.89,8.12,9.62,-0.4,1.761,8.99,9.91,7.91,10.09,0.92,2.286,9.78,10.01,8.96,10.64,0.23,2.258,10.28,11.44,10.2,11.46,1.16,0.129,1,2,154.0,0.1144076995441059,2020-05-20,0.2780082987551866,,,,,0.1224953487949747,0.1161488717086383,0.10760955200987876
-2.27,-1.05,-3.9,-0.01,1.22,0.965,-1.08,-3.14,-3.9,-0.99,-2.06,4.068,-3.11,-6.21,-8.01,-2.86,-3.1,3.745,-6.22,-6.53,-8.91,-5.8,-0.31,2.813,-6.54,-6.92,-7.18,-4.81,-0.38,2.216,-6.66,-6.68,-7.19,-5.56,-0.02,2.003,-6.63,-8.34,-8.77,-6.11,-1.71,1.813,-8.33,-8.71,-9.18,-7.48,-0.38,2.483,-8.73,-7.47,-9.55,-7.15,1.26,0.814,1,3,142.5,-0.07467532467532467,2020-05-21,0.032608695652173836,,,,,0.031420325767079316,0.031473330740271255,0.02464459774320904
-5.07,-0.7,-5.61,0.25,4.37,1.13,-0.53,-1.68,-4.91,-0.53,-1.15,5.196,-1.75,-2.63,-3.82,-1.24,-0.88,3.362,-2.56,-2.44,-3.51,-2.03,0.12,1.844,-2.33,-1.52,-2.51,-0.96,0.81,1.226,-1.46,-0.98,-1.79,-0.27,0.48,1.246,-0.92,-0.28,-1.12,-0.05,0.64,1.273,-0.34,0.04,-1.19,0.34,0.38,1.803,0.06,-0.14,-0.15,0.77,-0.2,0.734,1,4,142.3,-0.00140350877192974,2020-05-22,0.029741660033287598,0.02007168458781372,,,,0.02439021658629148,0.028814244352721285,0.022970285534853918
6.82,8.05,6.13,8.92,1.23,0.41,8.05,6.32,5.41,9.5,-1.73,6.196,6.13,8.28,6.07,8.55,2.15,3.197,8.23,5.58,4.49,9.12,-2.65,2.956,5.71,6.89,5.66,7.48,1.18,1.802,6.99,6.6,6.28,7.18,-0.39,1.381,6.47,6.89,6.08,7.24,0.42,1.277,6.8,3.4,2.76,7.04,-3.4,2.746,3.31,4.25,3.17,4.71,0.94,0.582,4,1,148.35,0.04251581166549534,2020-05-26,-0.03668831168831177,0.07499999999999996,,,,0.0549113903615559,0.06951203579284893,0.06575789012812039
3.81,0.06,-0.24,4.48,-3.75,1.097,0.05,-2.54,-2.84,1.6,-2.59,6.523,-2.45,-7.31,-7.81,-1.13,-4.86,4.407,-7.31,-5.1,-8.53,-4.25,2.21,3.843,-5.37,-3.55,-5.48,-2.61,1.82,2.026,-3.61,-0.72,-4.46,-0.36,2.89,2.95,-0.59,1.8,-0.68,1.82,2.39,2.422,1.71,3.3,0.92,3.4,1.59,2.492,3.33,2.86,2.12,3.66,-0.47,0.877,1,2,152.6,0.02864846646444219,2020-05-27,0.0708771929824561,0.23813387423935084,,,,0.06859253465971449,0.09584794408440933,0.09524085629528845
-1.05,-1.06,-4.0,0.26,-0.01,1.58,-1.18,-0.9,-1.95,1.22,0.28,6.24,-1.04,0.85,-1.61,1.45,1.89,3.124,0.59,0.69,-0.85,1.07,0.1,2.114,0.69,1.81,0.53,2.0,1.12,1.7,1.92,0.68,0.48,2.4,-1.24,1.496,0.64,-0.25,-1.04,0.79,-0.89,1.548,-0.21,-6.13,-7.6,0.92,-5.92,4.208,-6.14,-5.11,-6.14,-4.0,1.03,0.593,1,3,144.8,-0.05111402359108774,2020-05-28,0.017568517217146917,0.1777145180967874,,,,0.01140305255189844,0.03821290532757238,0.03885287835943707
