Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
07-11-2019 17:27:48;66158058;Kauf;SOXL;DIREXION SEMICONDUCTOR BULL 3X;US25459W4583;250.0;231.97;266.99;0.00;-58'259.49;USD;-58'259.49;12'899.50;USD
07-11-2019 15:30:12;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;900.0;13.75;53.82;0.00;12'321.18;USD;12'321.18;71'158.99;USD
07-11-2019 15:30:06;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;99.0;13.75;2.07;0.00;1'359.18;USD;1'359.18;58'837.81;USD
07-11-2019 15:30:06;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;140.0;13.75;2.93;0.00;1'922.07;USD;1'922.07;57'478.63;USD
07-11-2019 15:30:06;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;888.0;13.75;63.56;0.00;12'146.44;USD;12'146.44;55'556.56;USD
07-11-2019 15:30:05;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;28.0;13.75;0.59;0.00;384.41;USD;384.41;43'410.12;USD
07-11-2019 15:30:05;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.75;2.09;0.00;1'372.91;USD;1'372.91;43'025.71;USD
07-11-2019 15:30:05;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;70.0;13.75;1.47;0.00;961.03;USD;961.03;41'652.80;USD
07-11-2019 15:30:05;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;7.0;13.75;0.14;0.00;96.11;USD;96.11;40'691.77;USD
07-11-2019 15:30:05;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;127.0;13.75;12.66;0.00;1'733.59;USD;1'733.59;40'595.66;USD
07-11-2019 15:30:05;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;143.0;13.75;2.99;0.00;1'963.26;USD;1'963.26;38'862.07;USD
07-11-2019 15:30:05;66150936;Verkauf;MTW;MANITOWOC ORD;US5635714059;498.0;13.75;50.41;0.00;6'797.09;USD;6'797.09;36'898.81;USD
04-11-2019 15:30:28;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;1150.0;13.55;58.38;0.00;-15'640.88;USD;-15'640.88;30'101.72;USD
04-11-2019 15:30:24;66083053;Kauf;NVDA;NVIDIA ORD;US67066G1040;200.0;206.00;191.80;0.00;-41'391.80;USD;-41'391.80;45'742.60;USD
04-11-2019 15:30:23;66083041;Kauf;SWKS;SKYWORKS SOLUTIONS ORD;US83088M1027;400.0;99.14;189.48;0.00;-39'845.48;USD;-39'845.48;87'134.40;USD
04-11-2019 15:30:20;66083090;Kauf;AMAT;APPLIED MATERIAL ORD;US0382221051;600.0;56.02;180.42;0.00;-33'792.42;USD;-33'792.42;126'979.88;USD
04-11-2019 15:30:11;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;58.0;13.55;1.18;0.00;-787.08;USD;-787.08;160'772.30;USD
04-11-2019 15:30:11;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;80.0;13.55;1.62;0.00;-1'085.62;USD;-1'085.62;161'559.38;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;80.0;13.55;1.63;0.00;-1'085.63;USD;-1'085.63;162'645.00;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;602.0;13.55;57.24;0.00;-8'214.34;USD;-8'214.34;163'730.63;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;287.0;13.55;5.83;0.00;-3'894.68;USD;-3'894.68;171'944.97;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;525.0;13.55;25.67;0.00;-7'139.42;USD;-7'139.42;175'839.65;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.55;2.03;0.00;-1'357.03;USD;-1'357.03;182'979.07;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;2.0;13.55;0.04;0.00;-27.14;USD;-27.14;184'336.10;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.55;12.03;0.00;-1'367.03;USD;-1'367.03;184'363.24;USD
04-11-2019 15:30:10;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;1.0;13.55;0.03;0.00;-13.58;USD;-13.58;185'730.27;USD
04-11-2019 15:30:09;66083074;Kauf;MTW;MANITOWOC ORD;US5635714059;15.0;13.55;25.30;0.00;-228.55;USD;-228.55;185'743.85;USD
04-11-2019 15:30:06;66083034;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;38.0;53.55;3.05;0.00;-2'037.95;USD;-2'037.95;185'972.40;USD
04-11-2019 15:30:05;66083034;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;400.0;53.55;92.13;0.00;-21'512.13;USD;-21'512.13;188'010.35;USD
04-11-2019 15:30:05;66083034;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;300.0;53.55;59.10;0.00;-16'124.10;USD;-16'124.10;209'522.48;USD
04-11-2019 15:30:05;66083034;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;62.0;53.55;39.98;0.00;-3'360.08;USD;-3'360.08;225'646.58;USD
31-10-2019 16:52:08;66060040;Verkauf;AMAT;APPLIED MATERIAL ORD;US0382221051;700.0;54.17;147.67;0.00;37'771.33;USD;37'771.33;229'006.66;USD
31-10-2019 16:52:08;66060040;Verkauf;AMAT;APPLIED MATERIAL ORD;US0382221051;100.0;54.18;48.24;0.00;5'369.76;USD;5'369.76;191'235.33;USD
31-10-2019 16:51:53;66060033;Verkauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;1300.0;51.47;281.76;0.00;66'629.24;USD;66'629.24;185'865.57;USD
31-10-2019 16:51:39;66060004;Verkauf;SWKS;SKYWORKS SOLUTIONS ORD;US83088M1027;600.0;90.10;192.21;0.00;53'867.79;USD;53'867.79;119'236.33;USD
31-10-2019 16:51:39;66060004;Verkauf;SWKS;SKYWORKS SOLUTIONS ORD;US83088M1027;100.0;90.10;43.69;0.00;8'966.31;USD;8'966.31;65'368.54;USD
31-10-2019 16:51:39;66060004;Verkauf;SWKS;SKYWORKS SOLUTIONS ORD;US83088M1027;100.0;90.10;53.71;0.00;8'956.29;USD;8'956.29;56'402.23;USD
31-10-2019 16:51:29;66060014;Verkauf;NVDA;NVIDIA ORD;US67066G1040;150.0;200.71;175.78;0.00;29'930.72;USD;29'930.72;47'445.94;USD
31-10-2019 16:51:01;66059980;Verkauf;MTW;MANITOWOC ORD;US5635714059;1400.0;12.58;96.78;0.00;17'515.22;USD;17'515.22;17'515.22;USD
25-10-2019 22:16:12;00000000;Fx-Gutschrift Comp.;;;;1.0;8'951.60;0.00;0.00;8'951.60;USD;8'951.60;0.00;USD
25-10-2019 22:16:12;00000000;Fx-Belastung Comp.;;;;1.0;9'013.75;0.00;0.00;-9'013.75;CHF;-9'013.75;2'986.25;CHF
25-10-2019 20:13:29;65974102;Kauf;MTW;MANITOWOC ORD;US5635714059;100.0;13.05;1.95;0.00;-1'306.95;USD;-1'306.95;-8'951.60;USD
